"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7lvDsmTRXFE3dK4OjvRiWB","Pasoori","spotify:artist:3bWIy9AUrQdiNeS62Bp3OP, spotify:artist:3NegWDGp038A3FIi3gSYzl","Shae Gill, Ali Sethi","spotify:album:7wgrW5XyZdtk0K8PkW5A7h","Pasoori","spotify:artist:3bWIy9AUrQdiNeS62Bp3OP, spotify:artist:3NegWDGp038A3FIi3gSYzl","Shae Gill, Ali Sethi","2022-02-07","https://i.scdn.co/image/ab67616d0000b2733f3d35703bdcd917dad51c4f","1","1","224146","https://p.scdn.co/mp3-preview/88c67d6fadc0971cd8884b3f28d508723de9fa54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","FR10S2289473","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2MvLw9BE5ndkvZLXJcb1oC","Last Theater","spotify:artist:4FDoIX0wLRiVnx5F5wXWl4","NoisyCell","spotify:album:4QNzoCBWkG62Im2z7vbxBo","Sources","spotify:artist:4FDoIX0wLRiVnx5F5wXWl4","NoisyCell","2015-07-01","https://i.scdn.co/image/ab67616d0000b273bea7756936e5ff83aab7c44b","1","6","367773","https://p.scdn.co/mp3-preview/087e1cb64de8c75911640d15f5fae76b1c7f3b61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","JPVP01501901","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7hXFx8ue6LnP6sB8Zf7ik9","Sleep Forever","spotify:artist:7eLmjBYVvApof3usPlIIem, spotify:artist:1f8UNsnIHYgguJ6n7FDS9K, spotify:artist:3lwJ6CKvOHHhOuQDp4mwT2","Kris Sobanski, It Lives\, It Breathes, Kaiser Sensei","spotify:album:04qsLx0kaYy6a3L6agEVUg","Sleep Forever","spotify:artist:7eLmjBYVvApof3usPlIIem, spotify:artist:3lwJ6CKvOHHhOuQDp4mwT2, spotify:artist:1f8UNsnIHYgguJ6n7FDS9K","Kris Sobanski, Kaiser Sensei, It Lives\, It Breathes","2020-02-21","https://i.scdn.co/image/ab67616d0000b27368993d860d4639df3a0a0bd5","1","1","208900","https://p.scdn.co/mp3-preview/acba477d85f4a4c5cb9d3612a5dc78300096e927?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","uscgh2071196","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6zoNHckACUOGj2bERXgmnw","MONSTER","spotify:artist:7rpKUJ0AnklJ8q9nIPVSpZ","Reol","spotify:album:1dFNEpa096XsgJ2r6pPdyJ","極彩色","spotify:artist:7rpKUJ0AnklJ8q9nIPVSpZ","Reol","2015-07-29","https://i.scdn.co/image/ab67616d0000b2734e284a106820b99e32349bbd","1","15","201933","https://p.scdn.co/mp3-preview/bec0446be0a86a8b6eaf46ab18349dcac9dfa12c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","JPVI01522810","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3dHV3qCSzTdVHCgKxpsPiE","Tujhe Sochta Hoon - Lofi Flip","spotify:artist:5dvCHAlgZZBuYuRdSm3dQE, spotify:artist:4fEkbug6kZzzJ8eYX6Kbbp, spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Deepanshu Ruhela, KK, Pritam","spotify:album:5G2DfiPEAuBnWWLcGc1QyC","Tujhe Sochta Hoon (Lofi Flip)","spotify:artist:5dvCHAlgZZBuYuRdSm3dQE, spotify:artist:4fEkbug6kZzzJ8eYX6Kbbp, spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Deepanshu Ruhela, KK, Pritam","2021-08-27","https://i.scdn.co/image/ab67616d0000b27349bc42bef250b0911023813d","1","1","188087","https://p.scdn.co/mp3-preview/eaad0231862e3085a22acebb84c3835960ad3d9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","INS172102690","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6KRc596UDGsJfrgEFvLGro","Blossom","spotify:artist:2PyT6zhFlnRTEIKZUHh5NO","Ben Walter","spotify:album:54rb64GRPKZnZdiJKG8Y0X","Blossom","spotify:artist:2PyT6zhFlnRTEIKZUHh5NO","Ben Walter","2021-04-05","https://i.scdn.co/image/ab67616d0000b2738cf7b49b7698dc687ba105cc","1","1","246461","https://p.scdn.co/mp3-preview/51ad96e772ef34ef40f20bf05d9ae066ae78c162?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QZDA72131868","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6QHubuKkt3aBkVqk5PvwEp","Eye For An Eye","spotify:artist:1YznSk5tLLp9BnzuNgghrZ","8 Graves","spotify:album:2i772WUBXMAMzp9IfpvRiQ","Red","spotify:artist:1YznSk5tLLp9BnzuNgghrZ","8 Graves","2020-09-18","https://i.scdn.co/image/ab67616d0000b273db3b09e590281df2219e36ab","1","3","205602","https://p.scdn.co/mp3-preview/67573d2e33bfb8ab75a705d871562f8bf6774e29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBKPL2007746","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3ognTnYewF0sPmFAjpL1Bk","One by One","spotify:artist:6Y4SgUdlzTgSbmKba01ncJ","The New Shining","spotify:album:1IZArbyvUEHzdNqwSlS5bT","Elephant","spotify:artist:6Y4SgUdlzTgSbmKba01ncJ","The New Shining","2019-10-25","https://i.scdn.co/image/ab67616d0000b273bf29689feea388b2d2f5100e","1","6","186183","https://p.scdn.co/mp3-preview/4d1cb57f11d4459d2a35a0023c1e80bd899bb280?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","NLKA11900006","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2SvBbz1p3GTXnxvPQ5lzk5","To Death","spotify:artist:2zLxo07EbSedKk5YsnyacC","Koethe","spotify:album:24d6Ku8KuRnsDtOL3vnB3g","ABERRATE","spotify:artist:2zLxo07EbSedKk5YsnyacC","Koethe","2021-09-06","https://i.scdn.co/image/ab67616d0000b273a273353287335b21215a8e21","1","4","288893","https://p.scdn.co/mp3-preview/0a84a52d886f4cd819e4b065cd1896bed6df0772?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","QZK6J2154137","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6Wt5vcdm0A0kmE2cAQR5Xs","Aeon Rains","spotify:artist:5M8gMWMvoNjV1YzX2o9cPT","REMINA","spotify:album:2fk8Zd5sEmWQUThMLh6ZsV","Aeon Rains","spotify:artist:5M8gMWMvoNjV1YzX2o9cPT","REMINA","2021-07-24","https://i.scdn.co/image/ab67616d0000b2730bca2b2e0c15b3880f9e68a2","1","1","384000","https://p.scdn.co/mp3-preview/7005b6d492ef6f2407c92c8a4429e0deda9fb3d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","QZK6K2121389","spotify:user:","1970-01-01T00:00:00Z"
